farmer_id,timestamp,geo_lat,geo_lon,quantity_harvested,plant_type,region_id
F001,2024-01-08,24.986173569882883,82.06476885381007,208.7,Neem,R001
F002,2024-01-08,24.976584662527667,81.97658630430509,142.85,Neem,R001
F003,2024-01-08,25.07674347291529,81.95305256140651,181.58,Ashwagandha,R999
F004,2024-01-08,24.953658230718755,81.95342702464298,160.85,Ashwagandha,R999
F005,2024-01-08,24.80867197553422,81.8275082167487,154.84,Ashwagandha,R003
F006,2024-01-08,24.898716887966557,82.03142473325953,138.75,Ashwagandha,R002
F007,2024-01-08,24.858769629866472,82.14656487689216,131.84,Ashwagandha,R001
F008,2024-01-08,25.006752820468794,81.85752518137865,145.48,Ashwagandha,R001
F009,2024-01-08,25.011092258970987,81.88490064225778,139.11,Ashwagandha,R002
F010,2024-01-08,24.93993613100812,81.97083062502067,125.64,Neem,R002
F001,2024-01-15,25.185227818450894,81.99865027752621,110.97,Neem,R001
F002,2024-01-15,25.082254491210318,81.87791563500289,104.13,Neem,R002
F003,2024-01-15,24.804032987612022,81.86718139511015,256.27,Tulsi,R003
F004,2024-01-15,25.073846657999542,82.01713682811899,122.95,Neem,R001
F005,2024-01-15,24.96988963044107,81.85214780096325,147.69,Ashwagandha,R001
F006,2024-01-15,24.95393612290402,82.10571222262189,228.4,Tulsi,R001
F007,2024-01-15,24.823695984463725,82.03240839693947,260.31,Tulsi,R003
F008,2024-01-15,24.932307799969404,82.06116762888409,114.22,Neem,R003
F009,2024-01-15,25.09312801191162,81.91607824767773,170.62,Ashwagandha,R002
F010,2024-01-15,25.033126343140356,82.09755451271224,115.36,Neem,R003
F001,2024-01-22,24.98143410233362,81.8893665025994,140.42,Ashwagandha,R001
F002,2024-01-22,25.08125258223942,82.13562400285709,214.11,Tulsi,R002
F003,2024-01-22,25.1003532897892,82.03616360250476,118.92,Neem,R003
F004,2024-01-22,25.03613956055084,82.1538036566466,230.65,Tulsi,R003
F005,2024-01-22,25.1564643655814,81.73802548959102,149.28,Ashwagandha,R003
F006,2024-01-22,25.008704706823817,81.97009926495342,132.33,Neem,R002
F007,2024-01-22,24.80124310853991,81.97803281121625,151.84,Ashwagandha,R001
F008,2024-01-22,25.147789404474153,81.94817297817264,157.14,Ashwagandha,R001
F009,2024-01-22,24.949824295641545,82.09154021177021,107.87,Neem,R002
F010,2024-01-22,24.947023979623296,82.05132674331134,124.93,Neem,R002
F001,2024-01-29,25.09686449905329,81.92979469061227,151.94,Ashwagandha,R003
